game_number,word_length,word,attempts,result,time_taken,difficulty,hints_used
1,5,coach,2,win,21.13,medium,1
2,5,reedy,4,win,122.9,medium,2
3,5,khaki,3,win,31.94,medium,1
4,5,fleet,3,win,17.59,medium,1
5,5,ladle,6,win,74.83,medium,2
6,5,penny,3,win,32.03,medium,4
7,5,ether,5,win,78.9,medium,2
8,4,cool,4,win,104.29,easy,0
9,4,harp,4,win,38.19,hard,0
10,4,bone,6,win,127.95,hard,5
11,5,krill,7,loss,367.68,medium,3
12,5,ninth,6,win,182.15,medium,2
13,4,hush,4,win,106.28,easy,0
14,4,heme,5,win,56.32,easy,1
15,4,skis,7,loss,56.42,easy,1
16,5,scope,7,loss,143.18,hard,0
17,5,photo,7,loss,93.88,hard,4
18,5,motto,7,loss,26.65,easy,1
19,5,allay,5,win,153.19,easy,1
20,5,tenet,3,win,236.6,easy,0
21,5,tenet,4,win,134.9,easy,1
22,4,deet,5,win,196.67,easy,0
23,4,odds,4,win,161.21,easy,1
24,4,teen,7,loss,43.66,easy,1
25,4,look,7,loss,157.1,easy,1
26,4,berm,4,win,41.85,hard,4
27,4,arms,5,win,74.63,hard,3
28,4,bleb,5,win,60.87,hard,0
29,4,kick,7,loss,23.35,hard,5
30,4,idly,7,loss,62.48,hard,5
31,4,phiz,4,win,115.1,hard,4
32,4,gala,6,win,77.72,medium,2
33,4,dyed,3,win,65.79,medium,0
34,4,loon,7,loss,37.92,medium,2
35,4,hiss,3,win,20.87,medium,3
36,4,lilt,5,win,52.47,medium,0
37,5,tweet,2,win,11.83,easy,0
38,5,radar,3,win,28.55,easy,0
39,5,tepee,4,win,22.35,easy,1
40,5,onion,2,win,9.54,easy,0
41,5,tooth,1,win,15.0,easy,0
42,5,error,2,win,7.68,easy,0
43,5,teeth,4,win,20.97,easy,1
44,5,irate,4,win,109.24,hard,5
45,5,brute,6,win,30.67,hard,4
46,5,crump,5,win,147.52,hard,5
47,5,bunch,5,win,161.31,hard,4
48,5,timer,5,win,122.17,hard,4
49,5,feign,4,win,43.14,hard,0
50,5,craft,5,win,35.41,hard,2
